TES vs JDG Highlights ALL GAMES | LPL Spring 2020 GRAND FINAL | Top Esports vs JD Gaming,TES vs JDG Highlights ALL GAMES , LPL Spring 2020 GRAND FINAL ,https://www.youtube.com/watch?v=zxbCTNlB3qM,https://img.youtube.com/vi/zxbCTNlB3qM/mqdefault.jpg,"['TES', 'JDG']",LPL
TES vs JDG Highlights Game 5 | LPL Spring 2020 GRAND FINAL | Top Esports vs JD Gaming G5,TES vs JDG Highlights Game 5 , LPL Spring 2020 GRAND FINAL ,https://www.youtube.com/watch?v=nhifJNjyozs,https://img.youtube.com/vi/nhifJNjyozs/mqdefault.jpg,"['TES', 'JDG']",LPL
TES vs JDG Highlights Game 4 | LPL Spring 2020 GRAND FINAL | Top Esports vs JD Gaming G4,TES vs JDG Highlights Game 4 , LPL Spring 2020 GRAND FINAL ,https://www.youtube.com/watch?v=e9qWsdSklZI,https://img.youtube.com/vi/e9qWsdSklZI/mqdefault.jpg,"['TES', 'JDG']",LPL
TES vs JDG Highlights Game 3 | LPL Spring 2020 GRAND FINAL | Top Esports vs JD Gaming G3,TES vs JDG Highlights Game 3 , LPL Spring 2020 GRAND FINAL ,https://www.youtube.com/watch?v=gYNK1nQO8TM,https://img.youtube.com/vi/gYNK1nQO8TM/mqdefault.jpg,"['TES', 'JDG']",LPL
TES vs JDG Highlights Game 2 | LPL Spring 2020 GRAND FINAL | Top Esports vs JD Gaming G2,TES vs JDG Highlights Game 2 , LPL Spring 2020 GRAND FINAL ,https://www.youtube.com/watch?v=qR0Pnkts23Q,https://img.youtube.com/vi/qR0Pnkts23Q/mqdefault.jpg,"['TES', 'JDG']",LPL
TES vs JDG Highlights Game 1 - LPL Spring 2020 GRAND FINAL - Top Esports vs JD Gaming G1,TES vs JDG Highlights Game 1 , LPL Spring 2020 GRAND FINAL ,https://www.youtube.com/watch?v=d3aEYcJsjis,https://img.youtube.com/vi/d3aEYcJsjis/mqdefault.jpg,"['TES', 'JDG']",LPL
SB vs GRF Highlights ALL GAMES | LCK Summer 2020 Promotion | Sandbox Gaming vs Griffin,SB vs GRF Highlights ALL GAMES , LCK Summer 2020 Promotion ,https://www.youtube.com/watch?v=gCMSwz-n1NU,https://img.youtube.com/vi/gCMSwz-n1NU/mqdefault.jpg,"['SB', 'GRF']",LCK
FPX vs IG Highlights ALL GAMES | LPL Spring 2020 3rd/4th Place | FunPlus Phoenix vs Invictus Gaming,FPX vs IG Highlights ALL GAMES , LPL Spring 2020 3rd/4th Place ,https://www.youtube.com/watch?v=rpjQpCl3Jm8,https://img.youtube.com/vi/rpjQpCl3Jm8/mqdefault.jpg,"['FPX', 'IG']",LPL
FPX vs IG Highlights Game 3 | LPL Spring 2020 3rd/4th Place | FunPlus Phoenix vs Invictus Gaming G3,FPX vs IG Highlights Game 3 , LPL Spring 2020 3rd/4th Place ,https://www.youtube.com/watch?v=6BBcO2e1qQ0,https://img.youtube.com/vi/6BBcO2e1qQ0/mqdefault.jpg,"['FPX', 'IG']",LPL
FPX vs IG Highlights Game 2 | LPL Spring 2020 3rd/4th Place | FunPlus Phoenix vs Invictus Gaming G2,FPX vs IG Highlights Game 2 , LPL Spring 2020 3rd/4th Place ,https://www.youtube.com/watch?v=tuTE1S5kcTg,https://img.youtube.com/vi/tuTE1S5kcTg/mqdefault.jpg,"['FPX', 'IG']",LPL
